Vehicle type,Vehicle speed,wind velocity,weather condition,status,,,,,,,,
van,20,24.7,rainy,sideslip,,,,,,,,
van,30,24.4,rainy,sideslip,,,,,,,,
van,40,23.7,rainy,sideslip,,,,,,,,
van,50,23.1,rainy,sideslip,,,,,,,,
van,60,22.5,rainy,sideslip,,,,,,,,
van,70,21.5,rainy,sideslip,,,,,,,,
van,80,20.4,rainy,sideslip,,,,,,,,
van,90,19.4,rainy,sideslip,,,,,,,,
van,100,18.6,rainy,sideslip,,,,,,,,
van,110,17.3,rainy,sideslip,,,,,,,,
van,120,16.5,rainy,sideslip,,,,,,,,
van,20,14.3,snow,sideslip,,,,,,,,
van,30,13.2,snow,sideslip,,,,,,,,
van,40,12.5,snow,sideslip,,,,,,,,
van,50,11.2,snow,sideslip,,,,,,,,
van,60,10.2,snow,sideslip,,,,,,,,
van,70,9.4,snow,sideslip,,,,,,,,
van,80,8.1,snow,sideslip,,,,,,,,
van,90,7.5,snow,sideslip,,,,,,,,
van,100,7,snow,sideslip,,,,,,,,
van,110,6.2,snow,sideslip,,,,,,,,
van,120,5.7,snow,sideslip,,,,,,,,
van,20,8.3,ice,sideslip,,,,,,,,
van,30,7.8,ice,sideslip,,,,,,,,
van,40,6.4,ice,sideslip,,,,,,,,
van,50,5.3,ice,sideslip,,,,,,,,
van,60,4.7,ice,sideslip,,,,,,,,
van,70,4.1,ice,sideslip,,,,,,,,
van,80,3.6,ice,sideslip,,,,,,,,
van,90,3.2,ice,sideslip,,,,,,,,
van,100,2.7,ice,sideslip,,,,,,,,
van,110,2.4,ice,sideslip,,,,,,,,
van,120,2.1,ice,sideslip,,,,,,,,
container car,20,36,sunny,rollover,,,,,,,,
container car,30,35.4,sunny,rollover,,,,,,,,
container car,40,35,sunny,rollover,,,,,,,,
container car,50,34.7,sunny,rollover,,,,,,,,
container car,60,33.9,sunny,rollover,,,,,,,,
container car,70,33.2,sunny,rollover,,,,,,,,
container car,80,32.6,sunny,rollover,,,,,,,,
container car,90,31.7,sunny,rollover,,,,,,,,
container car,100,31.2,sunny,rollover,,,,,,,,
container car,110,30.4,sunny,rollover,,,,,,,,
container car,120,29.2,sunny,rollover,,,,,,,,
container car,20,33.7,sunny,ratating,,,,,,,,
container car,30,33.1,sunny,ratating,,,,,,,,
container car,40,32.7,sunny,ratating,,,,,,,,
container car,50,31.6,sunny,ratating,,,,,,,,
container car,60,31.1,sunny,ratating,,,,,,,,
container car,70,30.3,sunny,ratating,,,,,,,,
container car,80,29.5,sunny,ratating,,,,,,,,
container car,90,28.4,sunny,ratating,,,,,,,,
container car,100,27.3,sunny,ratating,,,,,,,,
container car,110,26.7,sunny,ratating,,,,,,,,
container car,120,25.4,sunny,ratating,,,,,,,,
container car,20,38.7,sunny,sideslip,,,,,,,,
container car,30,38.3,sunny,sideslip,,,,,,,,
container car,40,38,sunny,sideslip,,,,,,,,
container car,50,37.5,sunny,sideslip,,,,,,,,
container car,60,37.1,sunny,sideslip,,,,,,,,
container car,70,36.8,sunny,sideslip,,,,,,,,
container car,80,35.6,sunny,sideslip,,,,,,,,
container car,90,35,sunny,sideslip,,,,,,,,
container car,100,34.2,sunny,sideslip,,,,,,,,
container car,110,33.6,sunny,sideslip,,,,,,,,
container car,120,32.8,sunny,sideslip,,,,,,,,
container car,20,33.6,rainy,sideslip,,,,,,,,
container car,30,33.2,rainy,sideslip,,,,,,,,
container car,40,32.8,rainy,sideslip,,,,,,,,
container car,50,32.1,rainy,sideslip,,,,,,,,
container car,60,31.8,rainy,sideslip,,,,,,,,
container car,70,30.7,rainy,sideslip,,,,,,,,
container car,80,30.1,rainy,sideslip,,,,,,,,
container car,90,29.5,rainy,sideslip,,,,,,,,
container car,100,28.7,rainy,sideslip,,,,,,,,
container car,110,27.5,rainy,sideslip,,,,,,,,
container car,120,26.4,rainy,sideslip,,,,,,,,
container car,20,18.3,snow,sideslip,,,,,,,,
container car,30,17.6,snow,sideslip,,,,,,,,
container car,40,17.1,snow,sideslip,,,,,,,,
container car,50,16.5,snow,sideslip,,,,,,,,
container car,60,15.3,snow,sideslip,,,,,,,,
container car,70,14.2,snow,sideslip,,,,,,,,
container car,80,13.1,snow,sideslip,,,,,,,,
container car,90,12.6,snow,sideslip,,,,,,,,
container car,100,11.5,snow,sideslip,,,,,,,,
container car,110,10.7,snow,sideslip,,,,,,,,
container car,120,10.2,snow,sideslip,,,,,,,,
container car,20,11.2,ice,sideslip,,,,,,,,
container car,30,10.3,ice,sideslip,,,,,,,,
container car,40,9.4,ice,sideslip,,,,,,,,
container car,50,8.7,ice,sideslip,,,,,,,,
container car,60,7.6,ice,sideslip,,,,,,,,
container car,70,6.8,ice,sideslip,,,,,,,,
container car,80,6.1,ice,sideslip,,,,,,,,
container car,90,5.5,ice,sideslip,,,,,,,,
container car,100,4.7,ice,sideslip,,,,,,,,
container car,110,4.6,ice,sideslip,,,,,,,,
container car,120,4.3,ice,sideslip,,,,,,,,
microbus,15,33.4,sunny,safty,,,,,,,,
microbus,25,33.1,sunny,safty,,,,,,,,
microbus,35,32.6,sunny,safty,,,,,,,,
microbus,45,32.1,sunny,safty,,,,,,,,
microbus,55,31.8,sunny,safty,,,,,,,,
microbus,65,30.7,sunny,safty,,,,,,,,
microbus,75,30.2,sunny,safty,,,,,,,,
microbus,85,29.3,sunny,safty,,,,,,,,
microbus,95,28.1,sunny,safty,,,,,,,,
microbus,105,27.5,sunny,safty,,,,,,,,
microbus,115,26.4,sunny,safty,,,,,,,,
microbus,15,27.4,sunny,safty,,,,,,,,
microbus,25,26.9,sunny,safty,,,,,,,,
microbus,35,26.1,sunny,safty,,,,,,,,
microbus,45,25.6,sunny,safty,,,,,,,,
microbus,55,24.8,sunny,safty,,,,,,,,
microbus,65,23.2,sunny,safty,,,,,,,,
microbus,75,22.3,sunny,safty,,,,,,,,
microbus,85,21.7,sunny,safty,,,,,,,,
microbus,95,20.5,sunny,safty,,,,,,,,
microbus,105,19.2,sunny,safty,,,,,,,,
microbus,115,18.5,sunny,safty,,,,,,,,
microbus,15,32.1,sunny,safty,,,,,,,,
microbus,25,31.5,sunny,safty,,,,,,,,
microbus,35,31.3,sunny,safty,,,,,,,,
microbus,45,30.7,sunny,safty,,,,,,,,
microbus,55,29.8,sunny,safty,,,,,,,,
microbus,65,29.2,sunny,safty,,,,,,,,
microbus,75,28.3,sunny,safty,,,,,,,,
microbus,85,27.4,sunny,safty,,,,,,,,
microbus,95,26.6,sunny,safty,,,,,,,,
microbus,105,25.5,sunny,safty,,,,,,,,
microbus,115,25,sunny,safty,,,,,,,,
microbus,15,27.7,rainy,safty,,,,,,,,
microbus,25,27.1,rainy,safty,,,,,,,,
microbus,35,26.5,rainy,safty,,,,,,,,
microbus,45,26.1,rainy,safty,,,,,,,,
microbus,55,25.3,rainy,safty,,,,,,,,
microbus,65,24.6,rainy,safty,,,,,,,,
microbus,75,23.7,rainy,safty,,,,,,,,
microbus,85,22.5,rainy,safty,,,,,,,,
microbus,95,21.8,rainy,safty,,,,,,,,
microbus,105,20.7,rainy,safty,,,,,,,,
microbus,115,20,rainy,safty,,,,,,,,
microbus,15,14.8,snow,safty,,,,,,,,
microbus,25,14.2,snow,safty,,,,,,,,
microbus,35,13.2,snow,safty,,,,,,,,
microbus,45,12.5,snow,safty,,,,,,,,
microbus,55,11.6,snow,safty,,,,,,,,
microbus,65,10.3,snow,safty,,,,,,,,
microbus,75,9.6,snow,safty,,,,,,,,
microbus,85,8.5,snow,safty,,,,,,,,
microbus,95,8.1,snow,safty,,,,,,,,
microbus,105,7.8,snow,safty,,,,,,,,
microbus,115,6.7,snow,safty,,,,,,,,
microbus,15,8.8,ice,safty,,,,,,,,
microbus,25,7.6,ice,safty,,,,,,,,
microbus,35,6.9,ice,safty,,,,,,,,
microbus,45,6.1,ice,safty,,,,,,,,
microbus,55,5.3,ice,safty,,,,,,,,
microbus,65,4.7,ice,safty,,,,,,,,
microbus,75,4.3,ice,safty,,,,,,,,
microbus,85,3.8,ice,safty,,,,,,,,
microbus,95,3.2,ice,safty,,,,,,,,
microbus,105,3,ice,safty,,,,,,,,
microbus,115,2.9,ice,safty,,,,,,,,
sedan,15,53,sunny,safty,,,,,,,,
sedan,25,52.5,sunny,safty,,,,,,,,
sedan,35,52.17,sunny,safty,,,,,,,,
sedan,45,51.1,sunny,safty,,,,,,,,
sedan,55,49.5,sunny,safty,,,,,,,,
sedan,65,49.1,sunny,safty,,,,,,,,
sedan,75,48.9,sunny,safty,,,,,,,,
sedan,85,48.3,sunny,safty,,,,,,,,
sedan,95,47.9,sunny,safty,,,,,,,,
sedan,105,47.1,sunny,safty,,,,,,,,
sedan,115,46.9,sunny,safty,,,,,,,,
sedan,15,47.7,sunny,safty,,,,,,,,
sedan,25,47.2,sunny,safty,,,,,,,,
sedan,35,46.9,sunny,safty,,,,,,,,
sedan,45,45.8,sunny,safty,,,,,,,,
sedan,55,45.2,sunny,safty,,,,,,,,
sedan,65,44.3,sunny,safty,,,,,,,,
sedan,75,43.5,sunny,safty,,,,,,,,
sedan,85,41.8,sunny,safty,,,,,,,,
sedan,95,40.6,sunny,safty,,,,,,,,
sedan,105,39.4,sunny,safty,,,,,,,,
sedan,115,38.1,sunny,safty,,,,,,,,
sedan,15,45.1,sunny,safty,,,,,,,,
sedan,25,44.8,sunny,safty,,,,,,,,
sedan,35,44.7,sunny,safty,,,,,,,,
sedan,45,44.3,sunny,safty,,,,,,,,
sedan,55,43.9,sunny,safty,,,,,,,,
sedan,65,42.6,sunny,safty,,,,,,,,
sedan,75,41.8,sunny,safty,,,,,,,,
sedan,85,40.01,sunny,safty,,,,,,,,
sedan,95,39.1,sunny,safty,,,,,,,,
sedan,105,37.2,sunny,safty,,,,,,,,
sedan,115,36.7,sunny,safty,,,,,,,,
sedan,15,40.7,rainy,safty,,,,,,,,
sedan,25,40.5,rainy,safty,,,,,,,,
sedan,35,40.2,rainy,safty,,,,,,,,
sedan,45,39.9,rainy,safty,,,,,,,,
sedan,55,39.3,rainy,safty,,,,,,,,
sedan,65,38.8,rainy,safty,,,,,,,,
sedan,75,37.9,rainy,safty,,,,,,,,
sedan,85,37.3,rainy,safty,,,,,,,,
sedan,95,36.4,rainy,safty,,,,,,,,
sedan,105,35.2,rainy,safty,,,,,,,,
sedan,115,34.1,rainy,safty,,,,,,,,
sedan,15,24.6,snow,safty,,,,,,,,
sedan,25,24.2,snow,safty,,,,,,,,
sedan,35,23.6,snow,safty,,,,,,,,
sedan,45,22.5,snow,safty,,,,,,,,
sedan,55,21.3,snow,safty,,,,,,,,
sedan,65,20.2,snow,safty,,,,,,,,
sedan,75,18.4,snow,safty,,,,,,,,
sedan,85,17.9,snow,safty,,,,,,,,
sedan,95,16.3,snow,safty,,,,,,,,
sedan,105,14.8,snow,safty,,,,,,,,
sedan,115,13.5,snow,safty,,,,,,,,
sedan,15,15.6,ice,safty,,,,,,,,
sedan,25,14.5,ice,safty,,,,,,,,
sedan,35,13.7,ice,safty,,,,,,,,
sedan,45,12.2,ice,safty,,,,,,,,
sedan,55,10.8,ice,safty,,,,,,,,
sedan,65,9.2,ice,safty,,,,,,,,
sedan,75,8.1,ice,safty,,,,,,,,
sedan,85,7.3,ice,safty,,,,,,,,
sedan,95,6.5,ice,safty,,,,,,,,
sedan,105,5.7,ice,safty,,,,,,,,
sedan,115,5,ice,safty,,,,,,,,
minibus,15,28.2,sunny,safty,,,,,,,,
minibus,25,27.8,sunny,safty,,,,,,,,
minibus,35,27.6,sunny,safty,,,,,,,,
minibus,45,26.8,sunny,safty,,,,,,,,
minibus,55,26.3,sunny,safty,,,,,,,,
minibus,65,25.5,sunny,safty,,,,,,,,
minibus,75,24.7,sunny,safty,,,,,,,,
minibus,85,23.8,sunny,safty,,,,,,,,
minibus,95,22.6,sunny,safty,,,,,,,,
minibus,105,22.1,sunny,safty,,,,,,,,
minibus,115,21.2,sunny,safty,,,,,,,,
minibus,15,26.8,sunny,safty,,,,,,,,
minibus,25,26.2,sunny,safty,,,,,,,,
